x,y,z
99.27706262,16.95574935,62.12072773
96.40902749,10.81503607,70.16726172
86.92099818,26.04688254,82.28974643
74.53159097,37.62023562,74.11599486
69.29454557,16.82639113,75.79182521
58.64801267,0.539647842,77.49006322
11.33956488,15.13393729,62.35940616
14.29407997,49.16933294,48.04969315
8.721361333,59.10502059,55.31447149
8.487464723,74.06563373,23.63931727
5.352892156,58.26023567,18.19872955
25.92147581,64.38225296,6.228335217
28.34491942,76.38660596,8.906604323
33.72325662,89.22998009,23.27472709
70.16151593,81.10880071,5.120309979
88.47817336,81.75133942,8.9915246
82.28397621,52.03452965,12.08356317
81.36938742,49.57539609,18.07754661
82.35403543,19.07001576,25.43570118
59.91847964,11.39464675,19.00812259
51.81475444,15.34477256,18.48323949
44.71931671,13.75668877,20.59358131
41.01033356,6.437994643,18.30490885
36.62587937,35.40783463,14.17333771
33.22717888,35.51589843,19.0490368
44.02492995,52.18546411,24.65640356
47.73801676,39.42510303,40.62944662
64.88531633,57.4407617,40.06172349
55.33294888,54.78284642,64.47724958
50.75187081,76.26887366,67.90616255
41.25128522,88.50295047,66.34549728
29.04451222,78.38203885,63.36613295
10.54943371,55.46563964,77.45279589
0.961620717,72.60951173,75.41972988
19.54412537,82.85994564,73.83830277
26.24045273,95.16940378,81.27448708
64.13021146,97.999745,78.46808741
76.26582794,67.87510667,74.15711795
99.99331452,70.79038983,47.58187086
97.60342213,47.69740475,43.2886117
99.27706262,16.95574935,62.12072773
